store_id,store_name,location,store_type,opened_date
S1,Harvey LLC,Josephfurt,Online,2016-11-27
S2,Chung-Stevens,Lake Jeremiah,Online,2016-12-06
S3,"Frey, Santos and Johnson",Grayside,Supercenter,2023-08-29
S4,Walsh Ltd,North Vincent,Supercenter,2022-12-11
S5,"Mueller, Knight and Hodge",New Samanthabury,Online,2019-02-27
S6,"Clay, Alvarez and Williams",Lake Saraside,Online,2016-02-14
S7,Mcfarland LLC,East Brendafurt,Neighborhood Market,2016-11-14
S8,Martin-Allen,Rhodesside,Supercenter,2021-03-16
S9,Campos-Taylor,New Juliestad,Online,2016-06-22
S10,Kim Inc,Cassiefurt,Neighborhood Market,2021-02-11
